title,manuscript_id,mrc_name,institute_name,other_title,title_other_languages,record_number,author,scribe,language,script,commentary,commentator,commentary_language,script_commentary,sub_commentary,sub_commentator,sub_commentary_language,sub_commentary_script,bundle_number,manuscript_number,digitization,complete_incomplete,folios_number,pages_number,missing_portion_folios,size_length,size_width,size_height,material,condition,subject_1,subject_2,subject_3,data_collection_date,manuscript_date_samvat,manuscript_date_century,illustrations,illustrations_number,illustrations_type,illustrations_quality,manuscript_type,landscape_view,awarded_manuscript,awarded_manuscript_order,lines_number_per_page,beginning_line,ending_line,colophon,description,extra_remarks,christian_era
Guptagītā,NUI005995,Uttar Pradesh Survey,Samadhi Baba Devi Das,,,5,Patitadāsa,Patitadāsa,Hindi,Devanagari,,,,,,,,,,4,,Complete,,64,,,,,Plant Products -> Paper / कागज,,Gītā,,,09/09/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1925  Saṁvat,
Pratāpamodataraṅgiṇī,NUO00166136,Uttar Pradesh Survey,Ganga Prasad Memorial Library,,,136,Rāmadhanā,,Hindi,Devanagari,,,,,,,,,,15,,Incomplete,,,,,,,Plant Products -> Paper / कागज,,Kāvya,,,09/09/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1885,
स्तोत्र संग्रह,JAO0007410,"Satshrut Prabhavana Trust, Bhavnagar","श्री दिगम्बर जैन पंचायती बड़ा मन्दिर, सदर बाजार",,,10,प्राप्त नही,,Hindi,Devanagari,,,,,,,,,,,,Incomplete,45,,,21,14,,Plant Products -> Paper / कागज,,Dharmaśāstra,,,06/11/2004,,,No,,,,,No,No,,,,,,,manus_dt:,
Cūḍākaraṇa,NUO000641371,Uttar Pradesh Survey,Allahabad Sangrhalaya,,,1371,,,Sanskrit,Devanagari,,,,,,,,,74,1595,,Incomplete,5,,,,,,Plant Products -> Paper / कागज,Bad,Dharmaśāstra / Darsiyāt-i Islāmiyah,,,29/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Śuklayajurvedasaṁhitā,NUO000691500,Uttar Pradesh Survey,Rastriya Sanskrit Sansthan (Deemed University),,,1500,,,Sanskrit,Devanagari,,,,,,,,,,4578/65,,Complete,25,,,1.5,11.4,,Plant Products -> Paper / कागज,,,,,26/09/2005,,,No,,,,,No,No,,,,,,,manus_dt:,
Godānapadadhatī,MPO02033262,"Govt. Sanskrit College (MPC), Tripunithura",Amirdaula Public Library,,,262,,,Sanskrit,Devanagari,,,,,,,,,,48223,,Complete,,14,,8.7,5,,Plant Products -> Paper / कागज,,Dharmaśāstra,,,13/09/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1884 Samvat,
Hanumānacālīsā,NUI00126329,Uttar Pradesh Survey,Hindi Sahitya Pustakalaya,,,329,,Nokhelāla,Hindi,Devanagari,,,,,,,,,1,12,,Complete,7,14,,13,10,,Plant Products -> Paper / कागज,,Stotra,,,12/09/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1914,
Arthaśāstra,NUO00166137,Uttar Pradesh Survey,Ganga Prasad Memorial Library,,,137,Vṛjanaṅdanasahāya,,Hindi,Devanagari,,,,,,,,,,25,,Incomplete,,,,,,,Plant Products -> Paper / कागज,,Arthaśāstra,,,09/09/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1906,
Hindūjīvanapaddhati,NUI00126330,Uttar Pradesh Survey,Hindi Sahitya Pustakalaya,,,330,Devīdatta Śukla,,Hindi,Devanagari,,,,,,,,,,,,Complete,,60,,19,13,,Plant Products -> Paper / कागज,,Dharmaśāstra,,,09/09/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1903,
Vaiśyavaṁśa kā Itihāsa,NUI00126331,Uttar Pradesh Survey,Hindi Sahitya Pustakalaya,,,331,Ambikā Siṁha,,Hindi,Devanagari,,,,,,,,,,,,Complete,,134,,21,15,,Plant Products -> Paper / कागज,,Itihāsa,,,12/09/2005,,,No,,,,,No,No,,,,,,,manus_dt: 1887,
